id,game_id,name,storyline,first_release_date,follow_count,hype_count,critic_rating_value,critic_rating_count,user_rating_value,user_rating_count
69390,6391,Driver 2: Back on the Streets,"Driver 2's story takes place across four different cities: Chicago, Havana, Las Vegas and Rio de Janeiro. Tanner and his partner, Tobias Jones, are working together to capture a moneyman who has double crossed a crime lord. The moneyman is known as 'Pink Lenny' throughout the story, and he is portrayed as a weasel in the opening cutscene. Pink Lenny has double crossed Solomon Caine, and is now working for his enemy, a Brazilian known as Alvaro Vasquez. Tanner must find and capture Pink Lenny, as Solomon Caine wants to kill him for double crossing him. Lenny has also been responsible for causing a large gang war in Chicago through his actions.  The elusive Avaro Vasquez, head of the tattooed Brazilian mob operating out of Rio, is turning his business interests to mainland USA. Violence threatens to ignite America when a U.S. crimelord`s money-man cuts a deal with Vasquez - his greatest rival.",2000-11-13 00:00:00.000,27,NULL,50.0000,1,72.2786,66
69485,50094,Happyland Adventures,"You are out to rescue the happylanders, small animal like creatures. Rescuing these will rid the world of evilness. The end.",2000-05-19 00:00:00.000,1,NULL,NULL,NULL,NULL,NULL
69544,118557,Mission: Impossible,NULL,2000-02-24 00:00:00.000,NULL,NULL,NULL,NULL,NULL,NULL
69615,70459,7: Molmorth no Kiheitai,NULL,2000-12-21 00:00:00.000,NULL,NULL,NULL,NULL,NULL,NULL
69618,166660,Elder Gate,NULL,2000-06-22 00:00:00.000,NULL,NULL,NULL,NULL,NULL,NULL
69663,69229,All-Star Baseball 2001,NULL,2000-03-01 00:00:00.000,NULL,1,NULL,NULL,NULL,NULL
69771,27622,7 Blades,"7 Blades is based on the 1990 film Zipang, directed by Japanese filmmaker Kaizo Hayashi.[1] The game takes place in mid-17th century Japan, during which the Tokugawa shogunate was gaining power. The game is set on the man-made island Dejima, which the Japanese government is using to house Western foreigners and were a Christian group is trying to separate from the rest of the country.[1][2] The main character is Gokurakumaru, a violent mercenary, and poor womanizer. He travels with his gun-wielding love interest (Oyuri) and sidekick (Togizo). The latter provides comic relief and holds the swords as Gokurakumaru collects them one by one.",2000-12-21 00:00:00.000,1,NULL,NULL,NULL,NULL,NULL
69774,37505,Hanafuda Shiyouyo,NULL,2000-03-17 00:00:00.000,NULL,NULL,NULL,NULL,NULL,NULL
69860,40406,Penguin Brothers,NULL,2000-06-01 00:00:00.000,NULL,NULL,NULL,NULL,NULL,NULL
69926,49951,Puzzle Master,NULL,2000-01-01 00:00:00.000,NULL,NULL,NULL,NULL,NULL,NULL
69977,50015,Carl Lewis Athletics,NULL,2000-10-15 00:00:00.000,NULL,NULL,NULL,NULL,NULL,NULL
69989,49889,The Dukes of Hazzard: Racing for Home,NULL,2000-12-07 00:00:00.000,NULL,NULL,NULL,NULL,NULL,NULL
70021,37529,Glocal Hexcite,NULL,2000-07-29 00:00:00.000,NULL,NULL,NULL,NULL,NULL,NULL
