id,game_id,name,storyline,first_release_date,follow_count,hype_count,critic_rating_value,critic_rating_count,user_rating_value,user_rating_count,id,game_id,genre_name
184,131767,Mya of the Desert,"Embark on a journey to restore life to a world plagued by entropy. Traverse the landscape as Mya, a desert wanderer, in order to return the spirits of the Geomancers to their sacred mosaic. Gifted with the power of the Geomancers by the mosaic’s guardian spirit, Mya will elevate pillars of earth and bend rocks to her will to overcome the obstacles of the desert, solve the puzzles within the Geomancers’ abandoned temples, and overcome the Golem that’s been awoken by the decaying mosaic!",2020-03-13 00:00:00.000,NULL,NULL,NULL,NULL,NULL,NULL,171,131767,Adventure
195,165521,Breakage,NULL,2013-12-02 00:00:00.000,NULL,NULL,NULL,NULL,NULL,NULL,181,165521,Adventure
205,16141,Gargoyle's Quest II,NULL,1992-07-17 00:00:00.000,NULL,NULL,NULL,NULL,69.5651,6,190,16141,Adventure
209,163969,Kaigrad,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,195,163969,Adventure
211,157303,Torchway,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,197,157303,Adventure
214,103642,ALIENS INVADED OUR PLANET,NULL,NULL,NULL,NULL,NULL,NULL,50.0000,0,202,103642,Adventure
218,45016,Iznogoud,NULL,1998-07-10 00:00:00.000,NULL,NULL,NULL,NULL,NULL,NULL,206,45016,Adventure
220,64856,Dancing Blade Katteni Momotenshi!,NULL,1998-08-27 00:00:00.000,NULL,NULL,NULL,NULL,NULL,NULL,207,64856,Adventure
225,182771,Oblivio,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,220,182771,Adventure
226,90228,Skumring,NULL,2013-04-29 00:00:00.000,1,NULL,NULL,NULL,NULL,NULL,221,90228,Adventure
237,29985,Little Triangle,NULL,2017-01-20 00:00:00.000,NULL,NULL,NULL,NULL,80.0000,0,226,29985,Adventure
238,148867,魔帝1 Magic Emperor1,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,230,148867,Adventure
242,165516,Beacon,NULL,2011-02-26 00:00:00.000,NULL,NULL,NULL,NULL,NULL,NULL,234,165516,Adventure
252,6168,Insanely Twisted Shadow Planet,"As an their planet get turned apart and devoured by some mysterious dark force, these little aliens try to save it with the technologies they got.",2011-08-03 00:00:00.000,4,NULL,75.6667,5,73.4077,18,240,6168,Adventure
253,34020,Lost Labyrinth Extended Version,NULL,2015-11-24 00:00:00.000,NULL,NULL,NULL,NULL,50.0000,0,243,34020,Adventure
266,28671,A SECOND BEFORE US,NULL,2017-05-10 00:00:00.000,2,NULL,NULL,NULL,50.0000,1,254,28671,Adventure
281,125036,Die drei ??? - Das Geheimnis des Magiers,NULL,2000-12-31 00:00:00.000,NULL,NULL,NULL,NULL,NULL,NULL,267,125036,Adventure
282,114305,Zero spring episode 3,NULL,2019-01-10 00:00:00.000,NULL,NULL,NULL,NULL,NULL,NULL,269,114305,Adventure
283,43060,Brave Earth: Prologue,"Naomi vos Cruz, the young, inexperienced knight who is sent on a simple courier mission that spirals out of control and into a battle with monsters, mercenaries, and a struggle to stop a cult's powerful, demonic ritual. While not particularly mobile, Naomi has a number of special attacks to help her deal with a variety of situations.      Sinlen Rothschild, a powerful and mobile mage and Naomi's best friend. Ambushed during the investigation of ancient ruins, Sinlen defends herself with a wide assortment of long range magic.      Trevor vos Cruz, Naomi's older brother and Master Hunter for The Church. While Trevor is slow in attacking with his giant sword, Verbanner, he excels at quick, evasive maneuvers.",NULL,1,NULL,NULL,NULL,NULL,NULL,272,43060,Adventure
284,140359,Cube Gothic,NULL,2020-09-24 00:00:00.000,NULL,NULL,NULL,NULL,NULL,NULL,275,140359,Adventure
296,2775,Spongebob Squarepants: Underpants Slam,NULL,2007-12-26 00:00:00.000,NULL,NULL,70.0000,1,NULL,NULL,285,2775,Adventure
297,182755,Glitch Dream,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,286,182755,Adventure
304,113813,Project Downfall,NULL,2019-03-15 00:00:00.000,3,NULL,NULL,NULL,60.0000,0,292,113813,Adventure
306,163970,Solitude,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,295,163970,Adventure
308,171157,Pangea,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,301,171157,Adventure
313,70383,The Starfire Soccer Challenge,"About the trials and tribulations of trying out for a soccer team, and their road to glory.",1998-12-31 00:00:00.000,NULL,NULL,NULL,NULL,NULL,NULL,308,70383,Adventure
316,182769,Transfer,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,311,182769,Adventure
317,153658,Pirate Fox Detective: The Case of The Conspicuous Klawz Crew,NULL,2021-05-06 00:00:00.000,NULL,NULL,NULL,NULL,NULL,NULL,313,153658,Adventure
344,192454,Find The Murderer 2,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,338,192454,Adventure
348,83205,Der einzig wahre Auserwählte,NULL,2017-08-02 00:00:00.000,NULL,NULL,NULL,NULL,NULL,NULL,346,83205,Adventure
350,135724,Escape Room VR: Inner Voices,NULL,2020-07-09 00:00:00.000,NULL,NULL,NULL,NULL,NULL,NULL,351,135724,Adventure
352,18595,Another Code: Two Memories,"Two days before her fourteenth birthday, Ashley Mizuki Robbins receives a package from her father, Richard Robbins, whom she thought was dead. The package contained a small handheld device called a Dual Another System, or ""DAS"" (Dual Trace System, DTS in the American release), along with an invitation to meet him on Blood Edward Island. The following day, her and her aunt , Jessica Robbins, set off for the island. While there, Ashley meets ""D"", a ghost with no memories, who has been wandering the island alone for decades since his death. Ashley attempts to aide D in uncovering his lost memories, while also uncovering the truth about her father, the murder of her murder, and the mysterious project, code named ""Another"".",2005-02-24 00:00:00.000,4,NULL,70.0000,1,64.1228,11,357,18595,Adventure
353,128129,The Puzzle Box Society,NULL,2020-02-10 00:00:00.000,NULL,NULL,NULL,NULL,NULL,NULL,360,128129,Adventure
354,68852,Guns'n'Stories: Preface VR,NULL,2017-10-01 00:00:00.000,NULL,NULL,NULL,NULL,NULL,NULL,362,68852,Adventure
355,92853,Moorhuhn Kart Extra,NULL,2003-12-31 00:00:00.000,NULL,1,NULL,NULL,NULL,NULL,365,92853,Adventure
358,75420,SpaceRoads,NULL,2016-05-05 00:00:00.000,NULL,NULL,NULL,NULL,NULL,NULL,371,75420,Adventure
363,117587,Inquisitor: The Hammer of Witches,NULL,NULL,NULL,1,NULL,NULL,NULL,NULL,377,117587,Adventure
368,192435,Mafia: Sex Noir,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,382,192435,Adventure
386,88983,Explore Fish Feeding and Grow,NULL,2017-12-28 00:00:00.000,NULL,NULL,NULL,NULL,70.0000,0,384,88983,Adventure
396,165517,Beauty or the Beast,NULL,2001-12-31 00:00:00.000,NULL,NULL,NULL,NULL,NULL,NULL,387,165517,Adventure
398,182787,Anchored,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,388,182787,Adventure
406,117580,A five-day tour in the morgue,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,393,117580,Adventure
415,129368,GodOrEvil.1,NULL,2020-02-10 00:00:00.000,NULL,NULL,NULL,NULL,NULL,NULL,401,129368,Adventure
422,181207,Quest for the Book of Truth,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,406,181207,Adventure
435,3613,Tigger's Honey Hunt,"Winnie the Pooh decides to have a party for his friends but needs more honey. He asks Tigger, a tiger with spring-like tail, to help him collect the honey they will need to have the party. Other friends from the Hundred Acre Wood such as Owl, Rabbit, Kanga, Piglet and Roo, also help Tigger find the honey they will need. After traveling through six areas and completing three minigames, Tigger goes to talk to Christopher Robin about finding more honey and he suggests different kinds of food. The party is a big success thanks to Pooh and Tigger.",2000-09-29 00:00:00.000,2,NULL,NULL,NULL,75.9841,5,411,3613,Adventure
440,181889,Remembrance,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,414,181889,Adventure
443,192438,Pranga,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,417,192438,Adventure
452,126108,USAGIRI,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,423,126108,Adventure
459,27150,Minion Masters,NULL,2019-05-24 00:00:00.000,6,1,0.0000,1,66.5303,14,434,27150,Adventure
463,173042,Paradise Marsh,"One by one, the stars fell down from the sky into a perfect endless marsh. Wander around equipped with your trusty bug net and find a way to replenish the empty night sky. Along the way, pick wild flowers, discover lost poems and meet intriguing and colorful characters who need your help...",NULL,NULL,1,NULL,NULL,NULL,NULL,438,173042,Adventure
474,161347,Jetpackin' Heat++,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,450,161347,Adventure
476,158532,Tiger Girl Hill Breaker,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,453,158532,Adventure
478,115515,My Beautiful Paper Smile,NULL,2020-06-19 00:00:00.000,NULL,NULL,NULL,NULL,NULL,NULL,456,115515,Adventure
480,24595,Luckslinger,NULL,2015-07-16 00:00:00.000,3,NULL,90.0000,1,60.0000,2,460,24595,Adventure
481,96676,Star Boy,NULL,2018-04-27 00:00:00.000,NULL,NULL,NULL,NULL,NULL,NULL,462,96676,Adventure
489,119152,Noel The Mortal Fate Season 7 - end of the paranoid,NULL,2017-12-10 00:00:00.000,NULL,NULL,NULL,NULL,NULL,NULL,466,119152,Adventure
491,36452,Card City Nights 2,NULL,2017-09-01 00:00:00.000,NULL,NULL,NULL,NULL,70.0000,2,470,36452,Adventure
493,33788,Echo Tokyo: Phoenix,NULL,2018-06-30 00:00:00.000,1,NULL,NULL,NULL,50.0000,0,472,33788,Adventure
496,75836,Naruto: Gekitō Ninja Taisen! 3,NULL,2004-11-20 00:00:00.000,NULL,NULL,NULL,NULL,55.0000,0,479,75836,Adventure
498,16241,The Cat and the Coup,NULL,2011-05-03 00:00:00.000,1,NULL,NULL,NULL,70.0000,2,481,16241,Adventure
499,149122,Acolyte,NULL,2021-12-31 00:00:00.000,NULL,NULL,NULL,NULL,NULL,NULL,483,149122,Adventure
523,143259,Lost Caves,"In an attempt to find his fortune, young Michael Miner ventures into an old California gold mine to find any gold left over. After digging up what he thinks is gold embedded in a wall, the entire mine collapses around him, and he finds himself tumbling down a deep hole into. When reaching the bottom, he finds that he's stumbled into a large complex of caverns that houses the ruins of an ancient civilization! And where there are ruins, there's treasure, and Michael is not about to return to the surface empty handed...",2021-01-29 00:00:00.000,NULL,NULL,NULL,NULL,NULL,NULL,502,143259,Adventure
